year,county,party_zh,party_code,candidate,votes,total_valid,vote_rate
2024,南投縣,國民黨,KMT,侯友宜,109168,287296,0.379984
2024,南投縣,民眾黨,TPP,柯文哲,74856,287296,0.260554
2024,南投縣,民進黨,DPP,賴清德,103282,287296,0.359497
2024,嘉義市,國民黨,KMT,侯友宜,49504,157656,0.314000
2024,嘉義市,民眾黨,TPP,柯文哲,39947,157656,0.253381
2024,嘉義市,民進黨,DPP,賴清德,68205,157656,0.432619
2024,嘉義縣,國民黨,KMT,侯友宜,85640,292534,0.292752
2024,嘉義縣,民眾黨,TPP,柯文哲,67383,292534,0.230342
2024,嘉義縣,民進黨,DPP,賴清德,139517,292534,0.476926
2024,基隆市,國民黨,KMT,侯友宜,84507,218781,0.386263
2024,基隆市,民眾黨,TPP,柯文哲,58195,218781,0.265997
2024,基隆市,民進黨,DPP,賴清德,76076,218781,0.347727
2024,宜蘭縣,國民黨,KMT,侯友宜,77441,267129,0.289901
2024,宜蘭縣,民眾黨,TPP,柯文哲,70178,267129,0.262712
2024,宜蘭縣,民進黨,DPP,賴清德,119516,267129,0.447409
2024,屏東縣,國民黨,KMT,侯友宜,146783,475927,0.308415
2024,屏東縣,民眾黨,TPP,柯文哲,103028,475927,0.216479
2024,屏東縣,民進黨,DPP,賴清德,226108,475927,0.475090
2024,彰化縣,國民黨,KMT,侯友宜,244144,741368,0.329316
2024,彰化縣,民眾黨,TPP,柯文哲,214715,741368,0.289620
2024,彰化縣,民進黨,DPP,賴清德,282515,741368,0.381073
2024,新北市,國民黨,KMT,侯友宜,864548,2458480,0.351660
2024,新北市,民眾黨,TPP,柯文哲,645124,2458480,0.262408
2024,新北市,民進黨,DPP,賴清德,948801,2458480,0.385930
2024,新竹市,國民黨,KMT,侯友宜,82317,266389,0.309011
2024,新竹市,民眾黨,TPP,柯文哲,91378,266389,0.343025
2024,新竹市,民進黨,DPP,賴清德,92677,266389,0.347901
2024,新竹縣,國民黨,KMT,侯友宜,126016,340310,0.370298
2024,新竹縣,民眾黨,TPP,柯文哲,120989,340310,0.355526
2024,新竹縣,民進黨,DPP,賴清德,93309,340310,0.274188
2024,桃園市,國民黨,KMT,侯友宜,460823,1350792,0.341150
2024,桃園市,民眾黨,TPP,柯文哲,413522,1350792,0.306133
2024,桃園市,民進黨,DPP,賴清德,476458,1350792,0.352725
2024,澎湖縣,國民黨,KMT,侯友宜,18051,49277,0.366317
2024,澎湖縣,民眾黨,TPP,柯文哲,12200,49277,0.247580
2024,澎湖縣,民進黨,DPP,賴清德,19023,49277,0.386042
2024,臺中市,國民黨,KMT,侯友宜,552560,1707203,0.323664
2024,臺中市,民眾黨,TPP,柯文哲,513011,1707203,0.300498
2024,臺中市,民進黨,DPP,賴清德,641601,1707203,0.375820
2024,臺北市,國民黨,KMT,侯友宜,587255,1542011,0.380837
2024,臺北市,民眾黨,TPP,柯文哲,366848,1542011,0.237902
2024,臺北市,民進黨,DPP,賴清德,587912,1542011,0.381263
2024,臺南市,國民黨,KMT,侯友宜,286870,1120238,0.256080
2024,臺南市,民眾黨,TPP,柯文哲,262545,1120238,0.234365
2024,臺南市,民進黨,DPP,賴清德,570828,1120238,0.509560
2024,臺東縣,國民黨,KMT,侯友宜,54219,109941,0.493165
2024,臺東縣,民眾黨,TPP,柯文哲,25593,109941,0.232788
2024,臺東縣,民進黨,DPP,賴清德,30129,109941,0.274047
2024,花蓮縣,國民黨,KMT,侯友宜,87951,174157,0.505010
2024,花蓮縣,民眾黨,TPP,柯文哲,43043,174157,0.247151
2024,花蓮縣,民進黨,DPP,賴清德,43157,174157,0.247805
2024,苗栗縣,國民黨,KMT,侯友宜,131231,318665,0.411815
2024,苗栗縣,民眾黨,TPP,柯文哲,95639,318665,0.300124
2024,苗栗縣,民進黨,DPP,賴清德,91798,318665,0.288071
2024,連江縣,國民黨,KMT,侯友宜,3860,6159,0.626725
2024,連江縣,民眾黨,TPP,柯文哲,1651,6159,0.268063
2024,連江縣,民進黨,DPP,賴清德,648,6159,0.105212
2024,金門縣,國民黨,KMT,侯友宜,28005,45612,0.613983
2024,金門縣,民眾黨,TPP,柯文哲,13038,45612,0.285846
2024,金門縣,民進黨,DPP,賴清德,4570,45612,0.100193
2024,雲林縣,國民黨,KMT,侯友宜,111632,380619,0.293291
2024,雲林縣,民眾黨,TPP,柯文哲,99476,380619,0.261353
2024,雲林縣,民進黨,DPP,賴清德,169523,380619,0.445388
2024,高雄市,國民黨,KMT,侯友宜,478469,1636962,0.292291
2024,高雄市,民眾黨,TPP,柯文哲,358111,1636962,0.218766
2024,高雄市,民進黨,DPP,賴清德,800408,1636962,0.488959
