year,county,township,admin_key,party_zh,party_code,candidate,vote_rate,votes,total_valid,turnout
2024,南投縣,草屯鎮,南投縣|草屯鎮,民進黨,DPP,賴清德,0.364000,21818,59939,0.738600
2024,南投縣,草屯鎮,南投縣|草屯鎮,國民黨,KMT,侯友宜,0.350300,20997,59939,0.738600
2024,南投縣,草屯鎮,南投縣|草屯鎮,民眾黨,TPP,柯文哲,0.285700,17125,59939,0.738600
2024,南投縣,國姓鄉,南投縣|國姓鄉,民進黨,DPP,賴清德,0.339000,3407,10049,0.667300
2024,南投縣,國姓鄉,南投縣|國姓鄉,國民黨,KMT,侯友宜,0.423900,4260,10049,0.667300
2024,南投縣,國姓鄉,南投縣|國姓鄉,民眾黨,TPP,柯文哲,0.237000,2382,10049,0.667300
2024,南投縣,埔里鎮,南投縣|埔里鎮,民進黨,DPP,賴清德,0.337800,15307,45313,0.696800
2024,南投縣,埔里鎮,南投縣|埔里鎮,國民黨,KMT,侯友宜,0.399000,18080,45313,0.696800
2024,南投縣,埔里鎮,南投縣|埔里鎮,民眾黨,TPP,柯文哲,0.263300,11931,45313,0.696800
2024,南投縣,仁愛鄉,南投縣|仁愛鄉,民進黨,DPP,賴清德,0.131600,1009,7668,0.633000
2024,南投縣,仁愛鄉,南投縣|仁愛鄉,國民黨,KMT,侯友宜,0.620200,4756,7668,0.633000
2024,南投縣,仁愛鄉,南投縣|仁愛鄉,民眾黨,TPP,柯文哲,0.248200,1903,7668,0.633000
2024,南投縣,中寮鄉,南投縣|中寮鄉,民進黨,DPP,賴清德,0.393200,3300,8392,0.694100
2024,南投縣,中寮鄉,南投縣|中寮鄉,國民黨,KMT,侯友宜,0.372600,3127,8392,0.694100
2024,南投縣,中寮鄉,南投縣|中寮鄉,民眾黨,TPP,柯文哲,0.234200,1965,8392,0.694100
2024,南投縣,魚池鄉,南投縣|魚池鄉,民進黨,DPP,賴清德,0.383500,3280,8552,0.662800
2024,南投縣,魚池鄉,南投縣|魚池鄉,國民黨,KMT,侯友宜,0.380500,3254,8552,0.662800
2024,南投縣,魚池鄉,南投縣|魚池鄉,民眾黨,TPP,柯文哲,0.236000,2018,8552,0.662800
2024,南投縣,南投市,南投縣|南投市,民進黨,DPP,賴清德,0.351100,20879,59468,0.736100
2024,南投縣,南投市,南投縣|南投市,國民黨,KMT,侯友宜,0.378600,22515,59468,0.736100
2024,南投縣,南投市,南投縣|南投市,民眾黨,TPP,柯文哲,0.270400,16080,59468,0.736100
2024,南投縣,名間鄉,南投縣|名間鄉,民進黨,DPP,賴清德,0.441800,9915,22442,0.720400
